Baseline1;Baseline2;BinaryTree-baseline;BinaryTree-frombest;BinaryTree-standard;Chad;Coac;Linear-baseline;Linear-from-Linear-standard;Linear-frombest;Linear-standard;OneLaneIsEnough;ReinforcedGreediness;Tree-baseline;Tree-from-Linear-standard;Tree-frombest;Tree-standard
                Linear-baseline                            Coac wins= 15.97% errs=  0.00% alls=144
                Linear-baseline     Linear-from-Linear-standard wins= 31.14% errs=  0.00% alls=1117
                Linear-baseline                 Linear-frombest wins= 51.46% errs=  0.00% alls=720
                Linear-baseline                 Linear-standard wins= 33.26% errs=  0.00% alls=720
                Linear-baseline                 OneLaneIsEnough wins= 44.79% errs=  0.00% alls=144
                Linear-baseline            ReinforcedGreediness wins= 10.76% errs=  0.00% alls=144
                Linear-baseline                   Tree-baseline wins= 47.55% errs=  0.00% alls=714
                Linear-baseline       Tree-from-Linear-standard wins= 39.06% errs=  0.00% alls=1088
                Linear-baseline                   Tree-frombest wins= 49.30% errs=  0.00% alls=710
                Linear-baseline                   Tree-standard wins= 44.71% errs=  0.00% alls=700
    Linear-from-Linear-standard                       Baseline1 wins= 83.01% errs=  0.00% alls=279
    Linear-from-Linear-standard                       Baseline2 wins= 60.11% errs=  0.00% alls=279
    Linear-from-Linear-standard             BinaryTree-baseline wins= 76.57% errs=  0.04% alls=1118
    Linear-from-Linear-standard             BinaryTree-frombest wins= 61.43% errs=  0.00% alls=1397
    Linear-from-Linear-standard             BinaryTree-standard wins= 60.00% errs=  0.04% alls=1397
    Linear-from-Linear-standard                            Chad wins= 18.25% errs=  0.00% alls=279
    Linear-from-Linear-standard                            Coac wins=  9.12% errs=  0.00% alls=279
    Linear-from-Linear-standard                 Linear-baseline wins= 68.86% errs=  0.00% alls=1117
    Linear-from-Linear-standard                 Linear-frombest wins= 56.85% errs=  0.00% alls=1395
    Linear-from-Linear-standard                 Linear-standard wins= 56.42% errs=  0.00% alls=1395
    Linear-from-Linear-standard                 OneLaneIsEnough wins= 39.36% errs=  0.00% alls=279
    Linear-from-Linear-standard            ReinforcedGreediness wins= 17.17% errs=  0.00% alls=279
    Linear-from-Linear-standard                   Tree-baseline wins= 71.72% errs=  0.11% alls=1379
    Linear-from-Linear-standard       Tree-from-Linear-standard wins= 44.36% errs=  0.00% alls=2100
    Linear-from-Linear-standard                   Tree-frombest wins= 61.96% errs=  0.00% alls=1375
    Linear-from-Linear-standard                   Tree-standard wins= 60.44% errs=  0.07% alls=1355
                Linear-frombest                       Baseline1 wins= 70.56% errs=  0.00% alls=180
                Linear-frombest                       Baseline2 wins= 51.39% errs=  0.00% alls=180
                Linear-frombest             BinaryTree-baseline wins= 63.19% errs=  0.00% alls=720
                Linear-frombest             BinaryTree-frombest wins= 52.17% errs=  0.00% alls=900
                Linear-frombest             BinaryTree-standard wins= 54.61% errs=  0.06% alls=900
                Linear-frombest                            Chad wins= 13.89% errs=  0.00% alls=180
                Linear-frombest                            Coac wins=  9.72% errs=  0.00% alls=180
                Linear-frombest                 Linear-baseline wins= 48.54% errs=  0.00% alls=720
                Linear-frombest     Linear-from-Linear-standard wins= 43.15% errs=  0.00% alls=1395
                Linear-frombest                 Linear-standard wins= 46.50% errs=  0.00% alls=900
                Linear-frombest                 OneLaneIsEnough wins= 40.00% errs=  0.00% alls=180
                Linear-frombest            ReinforcedGreediness wins= 10.83% errs=  0.00% alls=180
                Linear-frombest                   Tree-baseline wins= 62.77% errs=  0.06% alls=890
                Linear-frombest       Tree-from-Linear-standard wins= 40.29% errs=  0.00% alls=1360
                Linear-frombest                   Tree-frombest wins= 52.90% errs=  0.11% alls=887
                Linear-frombest                   Tree-standard wins= 56.06% errs=  0.00% alls=875
                Linear-standard                       Baseline1 wins= 83.89% errs=  0.00% alls=180
                Linear-standard                       Baseline2 wins= 64.44% errs=  0.00% alls=180
                Linear-standard             BinaryTree-baseline wins= 73.47% errs=  0.00% alls=720
                Linear-standard             BinaryTree-frombest wins= 59.61% errs=  0.00% alls=900
                Linear-standard             BinaryTree-standard wins= 59.72% errs=  0.06% alls=900
                Linear-standard                            Chad wins= 25.83% errs=  0.00% alls=180
                Linear-standard                            Coac wins=  9.17% errs=  0.00% alls=180
                Linear-standard                 Linear-baseline wins= 66.74% errs=  0.00% alls=720
                Linear-standard     Linear-from-Linear-standard wins= 43.58% errs=  0.00% alls=1395
                Linear-standard                 Linear-frombest wins= 53.50% errs=  0.00% alls=900
                Linear-standard                 OneLaneIsEnough wins= 39.44% errs=  0.00% alls=180
                Linear-standard            ReinforcedGreediness wins= 15.28% errs=  0.00% alls=180
                Linear-standard                   Tree-baseline wins= 66.69% errs=  0.11% alls=890
                Linear-standard       Tree-from-Linear-standard wins= 41.07% errs=  0.00% alls=1360
                Linear-standard                   Tree-frombest wins= 61.69% errs=  0.00% alls=887
                Linear-standard                   Tree-standard wins= 61.26% errs=  0.06% alls=875
                OneLaneIsEnough                       Baseline1 wins= 93.06% errs=  4.17% alls=36
                OneLaneIsEnough                       Baseline2 wins=100.00% errs=  0.00% alls=36
                OneLaneIsEnough             BinaryTree-baseline wins= 53.82% errs=  1.04% alls=144
                OneLaneIsEnough             BinaryTree-frombest wins= 64.17% errs=  0.56% alls=180
                OneLaneIsEnough             BinaryTree-standard wins= 65.83% errs=  0.28% alls=180
                OneLaneIsEnough                            Chad wins= 40.28% errs=  5.56% alls=36
                OneLaneIsEnough                            Coac wins= 44.44% errs=  1.39% alls=36
                OneLaneIsEnough                 Linear-baseline wins= 55.21% errs=  3.12% alls=144
                OneLaneIsEnough     Linear-from-Linear-standard wins= 60.64% errs=  3.04% alls=279
                OneLaneIsEnough                 Linear-frombest wins= 60.00% errs=  0.28% alls=180
                OneLaneIsEnough                 Linear-standard wins= 60.56% errs=  3.33% alls=180
                OneLaneIsEnough            ReinforcedGreediness wins= 59.72% errs=  5.56% alls=36
                OneLaneIsEnough                   Tree-baseline wins= 57.42% errs=  1.40% alls=178
                OneLaneIsEnough       Tree-from-Linear-standard wins= 63.24% errs=  1.84% alls=272
                OneLaneIsEnough                   Tree-frombest wins= 66.20% errs=  1.13% alls=177
                OneLaneIsEnough                   Tree-standard wins= 67.52% errs=  0.57% alls=175
           ReinforcedGreediness                       Baseline1 wins= 97.22% errs=  0.00% alls=36
           ReinforcedGreediness                       Baseline2 wins= 97.22% errs=  0.00% alls=36
           ReinforcedGreediness             BinaryTree-baseline wins= 88.89% errs=  0.69% alls=144
           ReinforcedGreediness             BinaryTree-frombest wins= 94.17% errs=  0.00% alls=180
           ReinforcedGreediness             BinaryTree-standard wins= 88.89% errs=  0.00% alls=180
           ReinforcedGreediness                            Chad wins=  0.00% errs=  0.00% alls=36
           ReinforcedGreediness                            Coac wins= 30.56% errs=  0.00% alls=36
           ReinforcedGreediness                 Linear-baseline wins= 89.24% errs=  0.35% alls=144
           ReinforcedGreediness     Linear-from-Linear-standard wins= 82.83% errs=  0.00% alls=279
           ReinforcedGreediness                 Linear-frombest wins= 89.17% errs=  0.28% alls=180
           ReinforcedGreediness                 Linear-standard wins= 84.72% errs=  0.00% alls=180
           ReinforcedGreediness                 OneLaneIsEnough wins= 40.28% errs=  0.00% alls=36
           ReinforcedGreediness                   Tree-baseline wins= 89.08% errs=  0.00% alls=178
           ReinforcedGreediness       Tree-from-Linear-standard wins= 85.85% errs=  0.00% alls=272
           ReinforcedGreediness                   Tree-frombest wins= 89.01% errs=  0.28% alls=177
           ReinforcedGreediness                   Tree-standard wins= 90.60% errs=  0.00% alls=175
                  Tree-baseline                       Baseline1 wins= 63.03% errs=  0.00% alls=178
                  Tree-baseline                       Baseline2 wins= 56.02% errs=  0.00% alls=178
                  Tree-baseline             BinaryTree-baseline wins= 50.70% errs=  0.07% alls=714
                  Tree-baseline             BinaryTree-frombest wins= 43.03% errs=  0.11% alls=892
                  Tree-baseline             BinaryTree-standard wins= 38.15% errs=  0.00% alls=892
                  Tree-baseline                            Chad wins= 17.65% errs=  0.00% alls=178
                  Tree-baseline                            Coac wins=  6.72% errs=  0.00% alls=178
                  Tree-baseline                 Linear-baseline wins= 52.45% errs=  0.00% alls=714
                  Tree-baseline     Linear-from-Linear-standard wins= 28.28% errs=  0.00% alls=1379
                  Tree-baseline                 Linear-frombest wins= 37.23% errs=  0.00% alls=890
                  Tree-baseline                 Linear-standard wins= 33.31% errs=  0.00% alls=890
                  Tree-baseline                 OneLaneIsEnough wins= 42.58% errs=  0.00% alls=178
                  Tree-baseline            ReinforcedGreediness wins= 10.92% errs=  0.00% alls=178
                  Tree-baseline       Tree-from-Linear-standard wins= 23.29% errs=  0.00% alls=1344
                  Tree-baseline                   Tree-frombest wins= 42.17% errs=  0.00% alls=877
                  Tree-baseline                   Tree-standard wins= 36.88% errs=  0.00% alls=865
      Tree-from-Linear-standard                       Baseline1 wins= 78.31% errs=  0.00% alls=272
      Tree-from-Linear-standard                       Baseline2 wins= 48.53% errs=  0.00% alls=272
      Tree-from-Linear-standard             BinaryTree-baseline wins= 72.89% errs=  0.00% alls=1088
      Tree-from-Linear-standard             BinaryTree-frombest wins= 64.78% errs=  0.00% alls=1360
      Tree-from-Linear-standard             BinaryTree-standard wins= 62.32% errs=  0.04% alls=1360
      Tree-from-Linear-standard                            Chad wins= 16.91% errs=  0.00% alls=272
      Tree-from-Linear-standard                            Coac wins=  6.80% errs=  0.00% alls=272
      Tree-from-Linear-standard                 Linear-baseline wins= 60.94% errs=  0.00% alls=1088
      Tree-from-Linear-standard     Linear-from-Linear-standard wins= 55.64% errs=  0.00% alls=2100
      Tree-from-Linear-standard                 Linear-frombest wins= 59.71% errs=  0.00% alls=1360
      Tree-from-Linear-standard                 Linear-standard wins= 58.93% errs=  0.00% alls=1360
      Tree-from-Linear-standard                 OneLaneIsEnough wins= 36.76% errs=  0.00% alls=272
      Tree-from-Linear-standard            ReinforcedGreediness wins= 14.15% errs=  0.00% alls=272
      Tree-from-Linear-standard                   Tree-baseline wins= 76.71% errs=  0.00% alls=1344
      Tree-from-Linear-standard                   Tree-frombest wins= 63.62% errs=  0.00% alls=1340
      Tree-from-Linear-standard                   Tree-standard wins= 64.73% errs=  0.04% alls=1320
                  Tree-frombest                       Baseline1 wins= 65.63% errs=  0.00% alls=177
                  Tree-frombest                       Baseline2 wins= 46.76% errs=  0.00% alls=177
                  Tree-frombest             BinaryTree-baseline wins= 63.31% errs=  0.00% alls=710
                  Tree-frombest             BinaryTree-frombest wins= 50.08% errs=  0.00% alls=887
                  Tree-frombest             BinaryTree-standard wins= 49.07% errs=  0.06% alls=887
                  Tree-frombest                            Chad wins= 11.83% errs=  0.00% alls=177
                  Tree-frombest                            Coac wins=  4.79% errs=  0.00% alls=177
                  Tree-frombest                 Linear-baseline wins= 50.70% errs=  0.00% alls=710
                  Tree-frombest     Linear-from-Linear-standard wins= 38.04% errs=  0.00% alls=1375
                  Tree-frombest                 Linear-frombest wins= 47.10% errs=  0.00% alls=887
                  Tree-frombest                 Linear-standard wins= 38.31% errs=  0.00% alls=887
                  Tree-frombest                 OneLaneIsEnough wins= 33.80% errs=  0.00% alls=177
                  Tree-frombest            ReinforcedGreediness wins= 10.99% errs=  0.00% alls=177
                  Tree-frombest                   Tree-baseline wins= 57.83% errs=  0.00% alls=877
                  Tree-frombest       Tree-from-Linear-standard wins= 36.38% errs=  0.00% alls=1340
                  Tree-frombest                   Tree-standard wins= 51.25% errs=  0.06% alls=862
                  Tree-standard                       Baseline1 wins= 62.68% errs=  0.00% alls=175
                  Tree-standard                       Baseline2 wins= 36.47% errs=  0.00% alls=175
                  Tree-standard             BinaryTree-baseline wins= 66.81% errs=  0.00% alls=702
                  Tree-standard             BinaryTree-frombest wins= 53.96% errs=  0.00% alls=877
                  Tree-standard             BinaryTree-standard wins= 49.89% errs=  0.00% alls=877
                  Tree-standard                            Chad wins= 12.82% errs=  0.00% alls=175
                  Tree-standard                            Coac wins=  7.69% errs=  0.00% alls=175
                  Tree-standard                 Linear-baseline wins= 55.29% errs=  0.00% alls=700
                  Tree-standard     Linear-from-Linear-standard wins= 39.56% errs=  0.00% alls=1355
                  Tree-standard                 Linear-frombest wins= 43.94% errs=  0.00% alls=875
                  Tree-standard                 Linear-standard wins= 38.74% errs=  0.00% alls=875
                  Tree-standard                 OneLaneIsEnough wins= 32.48% errs=  0.00% alls=175
                  Tree-standard            ReinforcedGreediness wins=  9.40% errs=  0.00% alls=175
                  Tree-standard                   Tree-baseline wins= 63.12% errs=  0.00% alls=865
                  Tree-standard       Tree-from-Linear-standard wins= 35.27% errs=  0.00% alls=1320
                  Tree-standard                   Tree-frombest wins= 48.75% errs=  0.00% alls=862
                           Coac wins= 90.42% errs=  0.00% alls=2271 avg= 19.49± 30.68ms
           ReinforcedGreediness wins= 85.23% errs=  0.11% alls=2271 avg= 89.29± 73.40ms
                           Chad wins= 83.18% errs=  0.00% alls=2271 avg=169.93± 56.93ms
                OneLaneIsEnough wins= 62.07% errs=  1.72% alls=2271 avg=  7.86± 20.47ms
      Tree-from-Linear-standard wins= 60.27% errs=  0.01% alls=15352 avg=  3.20±  1.18ms
    Linear-from-Linear-standard wins= 58.12% errs=  0.02% alls=15706 avg=  3.03±  1.03ms
                Linear-standard wins= 54.92% errs=  0.02% alls=10627 avg=  3.03±  0.98ms
                Linear-frombest wins= 48.99% errs=  0.02% alls=10628 avg=  3.04±  0.98ms
                  Tree-standard wins= 45.76% errs=  0.00% alls=10362 avg=  3.02±  1.00ms
            BinaryTree-standard wins= 45.63% errs=  0.01% alls=10634 avg=  3.00±  0.96ms
            BinaryTree-frombest wins= 45.20% errs=  0.00% alls=10635 avg=  3.03±  0.95ms
                  Tree-frombest wins= 44.96% errs=  0.01% alls=10490 avg=  3.04±  0.93ms
                Linear-baseline wins= 43.02% errs=  0.00% alls=8649 avg=  3.02±  0.82ms
                      Baseline2 wins= 42.73% errs=  0.00% alls=2271 avg=  3.73±  0.86ms
                  Tree-baseline wins= 36.40% errs=  0.01% alls=10530 avg=  3.04±  1.07ms
            BinaryTree-baseline wins= 33.94% errs=  0.01% alls=8652 avg=  3.01±  0.90ms
                      Baseline1 wins= 28.89% errs=  0.00% alls=2271 avg=  3.00±  0.88ms
        & \multicolumn{1}{c}{\rotatebox{90}{\texttt{Baseline1}}} & \multicolumn{1}{c}{\rotatebox{90}{\texttt{Baseline2}}} & \multicolumn{1}{c}{\rotatebox{90}{\texttt{Chad}}} & \multicolumn{1}{c}{\rotatebox{90}{\texttt{Coac}}} & \multicolumn{1}{c}{\rotatebox{90}{\texttt{OneLaneIsEnough}}} & \multicolumn{1}{c}{\rotatebox{90}{\texttt{ReinforcedGreediness}}} & \multicolumn{1}{c}{\rotatebox{90}{\texttt{BinaryTree-baseline}}} & \multicolumn{1}{c}{\rotatebox{90}{\texttt{BinaryTree-frombest}}} & \multicolumn{1}{c}{\rotatebox{90}{\texttt{BinaryTree-standard}}} & \multicolumn{1}{c}{\rotatebox{90}{\texttt{Linear-baseline}}} & \multicolumn{1}{c}{\rotatebox{90}{\texttt{Linear-frombest}}} & \multicolumn{1}{c}{\rotatebox{90}{\texttt{Linear-standard}}} & \multicolumn{1}{c}{\rotatebox{90}{\texttt{Tree-baseline}}} & \multicolumn{1}{c}{\rotatebox{90}{\texttt{Tree-frombest}}} & \multicolumn{1}{c}{\rotatebox{90}{\texttt{Tree-standard}}} & \multicolumn{1}{c}{\rotatebox{90}{\texttt{Linear-from-Linear-standard}}} & \multicolumn{1}{c}{\rotatebox{90}{\texttt{Tree-from-Linear-standard}}} & \multicolumn{1}{c}{\rotatebox{90}{\textbf{Global average}}} \\
        \midrule
        \hspace{0.2cm} \texttt{Baseline1} \hspace{0.2cm} & \multicolumn{1}{c}{--} & 40.28 & 2.78 & 0.00 & 6.94 & 2.78 & 43.40 & 32.50 & 38.33 & 45.83 & 29.44 & 16.11 & 36.97 & 34.37 & 37.32 & 16.99 & 21.69 & \hspace{0.2cm} 28.89 \hspace{0.2cm} \\
        \hspace{0.2cm} \texttt{Baseline2} \hspace{0.2cm} & 59.72 & \multicolumn{1}{c}{--} & 4.17 & 0.00 & 0.00 & 2.78 & 34.03 & 45.56 & 57.50 & 17.01 & 48.61 & 35.56 & 43.98 & 53.24 & 63.53 & 39.89 & 51.47 & \hspace{0.2cm} 42.73 \hspace{0.2cm} \\
        \hspace{0.2cm} \texttt{Chad} \hspace{0.2cm} & 97.22 & 95.83 & \multicolumn{1}{c}{--} & 31.94 & 59.72 & 100.00 & 83.33 & 86.11 & 89.44 & 79.86 & 86.11 & 74.17 & 82.35 & 88.17 & 87.18 & 81.75 & 83.09 & \hspace{0.2cm} 83.18 \hspace{0.2cm} \\
        \hspace{0.2cm} \texttt{Coac} \hspace{0.2cm} & 100.00 & 100.00 & 68.06 & \multicolumn{1}{c}{--} & 55.56 & 69.44 & 89.93 & 91.39 & 92.22 & 84.03 & 90.28 & 90.83 & 93.28 & 95.21 & 92.31 & 90.88 & 93.20 & \hspace{0.2cm} 90.42 \hspace{0.2cm} \\
        \hspace{0.2cm} \texttt{OneLaneIsEnough} \hspace{0.2cm} & 93.06 & 100.00 & 40.28 & 44.44 & \multicolumn{1}{c}{--} & 59.72 & 53.82 & 64.17 & 65.83 & 55.21 & 60.00 & 60.56 & 57.42 & 66.20 & 67.52 & 60.64 & 63.24 & \hspace{0.2cm} 62.07 \hspace{0.2cm} \\
        \hspace{0.2cm} \texttt{ReinforcedGreediness} \hspace{0.2cm} & 97.22 & 97.22 & 0.00 & 30.56 & 40.28 & \multicolumn{1}{c}{--} & 88.89 & 94.17 & 88.89 & 89.24 & 89.17 & 84.72 & 89.08 & 89.01 & 90.60 & 82.83 & 85.85 & \hspace{0.2cm} 85.23 \hspace{0.2cm} \\
        \hspace{0.2cm} \texttt{BinaryTree-baseline} \hspace{0.2cm} & 56.60 & 65.97 & 16.67 & 10.07 & 46.18 & 11.11 & \multicolumn{1}{c}{--} & 35.07 & 38.89 & 43.06 & 36.81 & 26.53 & 49.30 & 36.69 & 33.19 & 23.43 & 27.11 & \hspace{0.2cm} 33.94 \hspace{0.2cm} \\
        \hspace{0.2cm} \texttt{BinaryTree-frombest} \hspace{0.2cm} & 67.50 & 54.44 & 13.89 & 8.61 & 35.83 & 5.83 & 64.93 & \multicolumn{1}{c}{--} & 47.00 & 57.57 & 47.83 & 40.39 & 56.97 & 49.92 & 46.04 & 38.57 & 35.22 & \hspace{0.2cm} 45.20 \hspace{0.2cm} \\
        \hspace{0.2cm} \texttt{BinaryTree-standard} \hspace{0.2cm} & 61.67 & 42.50 & 10.56 & 7.78 & 34.17 & 11.11 & 61.11 & 53.00 & \multicolumn{1}{c}{--} & 48.26 & 45.39 & 40.28 & 61.85 & 50.93 & 50.11 & 40.00 & 37.68 & \hspace{0.2cm} 45.63 \hspace{0.2cm} \\
        \hspace{0.2cm} \texttt{Linear-baseline} \hspace{0.2cm} & 54.17 & 82.99 & 20.14 & 15.97 & 44.79 & 10.76 & 56.94 & 42.43 & 51.74 & \multicolumn{1}{c}{--} & 51.46 & 33.26 & 47.55 & 49.30 & 44.71 & 31.14 & 39.06 & \hspace{0.2cm} 43.02 \hspace{0.2cm} \\
        \hspace{0.2cm} \texttt{Linear-frombest} \hspace{0.2cm} & 70.56 & 51.39 & 13.89 & 9.72 & 40.00 & 10.83 & 63.19 & 52.17 & 54.61 & 48.54 & \multicolumn{1}{c}{--} & 46.50 & 62.77 & 52.90 & 56.06 & 43.15 & 40.29 & \hspace{0.2cm} 48.99 \hspace{0.2cm} \\
        \hspace{0.2cm} \texttt{Linear-standard} \hspace{0.2cm} & 83.89 & 64.44 & 25.83 & 9.17 & 39.44 & 15.28 & 73.47 & 59.61 & 59.72 & 66.74 & 53.50 & \multicolumn{1}{c}{--} & 66.69 & 61.69 & 61.26 & 43.58 & 41.07 & \hspace{0.2cm} 54.92 \hspace{0.2cm} \\
        \hspace{0.2cm} \texttt{Tree-baseline} \hspace{0.2cm} & 63.03 & 56.02 & 17.65 & 6.72 & 42.58 & 10.92 & 50.70 & 43.03 & 38.15 & 52.45 & 37.23 & 33.31 & \multicolumn{1}{c}{--} & 42.17 & 36.88 & 28.28 & 23.29 & \hspace{0.2cm} 36.40 \hspace{0.2cm} \\
        \hspace{0.2cm} \texttt{Tree-frombest} \hspace{0.2cm} & 65.63 & 46.76 & 11.83 & 4.79 & 33.80 & 10.99 & 63.31 & 50.08 & 49.07 & 50.70 & 47.10 & 38.31 & 57.83 & \multicolumn{1}{c}{--} & 51.25 & 38.04 & 36.38 & \hspace{0.2cm} 44.96 \hspace{0.2cm} \\
        \hspace{0.2cm} \texttt{Tree-standard} \hspace{0.2cm} & 62.68 & 36.47 & 12.82 & 7.69 & 32.48 & 9.40 & 66.81 & 53.96 & 49.89 & 55.29 & 43.94 & 38.74 & 63.12 & 48.75 & \multicolumn{1}{c}{--} & 39.56 & 35.27 & \hspace{0.2cm} 45.76 \hspace{0.2cm} \\
        \hspace{0.2cm} \texttt{Linear-from-Linear-standard} \hspace{0.2cm} & 83.01 & 60.11 & 18.25 & 9.12 & 39.36 & 17.17 & 76.57 & 61.43 & 60.00 & 68.86 & 56.85 & 56.42 & 71.72 & 61.96 & 60.44 & \multicolumn{1}{c}{--} & 44.36 & \hspace{0.2cm} 58.12 \hspace{0.2cm} \\
        \hspace{0.2cm} \texttt{Tree-from-Linear-standard} \hspace{0.2cm} & 78.31 & 48.53 & 16.91 & 6.80 & 36.76 & 14.15 & 72.89 & 64.78 & 62.32 & 60.94 & 59.71 & 58.93 & 76.71 & 63.62 & 64.73 & 55.64 & \multicolumn{1}{c}{--} & \hspace{0.2cm} 60.27 \hspace{0.2cm} \\
        \bottomrule
