AdvancedAvocadoAgent;Ag2O;Baseline1;Baseline2;Chad;Coac;DrainPower;DrainPowerAggressive;LANE\\_1\\_0;OneLaneIsEnough;ReinforcedGreediness
 21.87; 25.79; 22.47; 23.27; 77.91; 71.92; 76.38; 77.13; 38.82; 58.45; 56.68
 21.92; 25.78; 22.57; 23.24; 77.88; 71.87; 76.42; 77.15; 38.82; 58.39; 56.58
 21.87; 25.82; 22.55; 23.16; 77.81; 71.85; 76.50; 77.16; 38.94; 58.35; 56.50
 21.81; 25.83; 22.52; 23.16; 77.83; 71.78; 76.53; 77.12; 38.94; 58.37; 56.50
 21.78; 25.82; 22.48; 23.18; 77.74; 71.80; 76.60; 77.13; 38.92; 58.35; 56.47
 21.82; 25.79; 22.43; 23.20; 77.74; 71.90; 76.59; 77.14; 38.85; 58.27; 56.44
 21.88; 25.75; 22.43; 23.15; 77.67; 71.90; 76.61; 77.16; 38.86; 58.28; 56.44
 21.84; 25.76; 22.43; 23.10; 77.69; 71.88; 76.64; 77.19; 38.85; 58.29; 56.44
 21.85; 25.70; 22.45; 23.12; 77.62; 71.88; 76.67; 77.22; 38.84; 58.33; 56.41
 21.86; 25.64; 22.43; 23.11; 77.64; 71.86; 76.75; 77.24; 38.83; 58.34; 56.36
 21.91; 25.62; 22.40; 23.04; 77.60; 71.89; 76.80; 77.22; 38.87; 58.37; 56.36
 21.93; 25.59; 22.43; 23.08; 77.65; 71.86; 76.80; 77.24; 38.88; 58.33; 56.29
 21.89; 25.66; 22.42; 23.03; 77.58; 71.96; 76.81; 77.28; 38.92; 58.26; 56.26
 21.89; 25.65; 22.45; 23.00; 77.58; 71.94; 76.88; 77.32; 38.93; 58.19; 56.23
 21.91; 25.71; 22.40; 22.98; 77.58; 71.98; 76.86; 77.35; 38.95; 58.23; 56.22
 21.89; 25.81; 22.42; 22.97; 77.58; 71.98; 76.88; 77.38; 38.93; 58.22; 56.20
 21.87; 25.88; 22.47; 22.97; 77.56; 71.99; 76.91; 77.39; 38.97; 58.21; 56.16
 21.89; 25.87; 22.51; 22.92; 77.60; 72.05; 76.96; 77.39; 38.97; 58.15; 56.15
 21.94; 25.85; 22.46; 22.87; 77.61; 72.04; 77.03; 77.42; 39.00; 58.18; 56.17
 21.91; 25.86; 22.46; 22.94; 77.64; 71.99; 77.03; 77.51; 38.97; 58.17; 56.19
 21.93; 25.91; 22.49; 22.91; 77.57; 71.98; 77.08; 77.54; 38.97; 58.23; 56.16
 21.88; 25.90; 22.53; 22.89; 77.58; 71.97; 77.15; 77.56; 39.02; 58.22; 56.18
 21.90; 25.86; 22.52; 22.84; 77.62; 71.99; 77.20; 77.51; 39.02; 58.14; 56.18
 21.84; 25.90; 22.55; 22.84; 77.57; 72.01; 77.18; 77.54; 38.97; 58.09; 56.20
 21.84; 25.97; 22.56; 22.80; 77.48; 72.06; 77.20; 77.61; 38.88; 58.08; 56.13
 21.86; 25.95; 22.58; 22.82; 77.45; 72.01; 77.23; 77.63; 38.93; 57.98; 56.08
 21.86; 25.90; 22.51; 22.81; 77.39; 72.06; 77.23; 77.70; 38.95; 57.99; 56.01
 21.81; 25.89; 22.47; 22.86; 77.37; 72.04; 77.23; 77.70; 38.90; 58.02; 56.01
 21.79; 25.88; 22.48; 22.85; 77.30; 72.06; 77.21; 77.79; 38.86; 58.01; 55.97
 21.80; 25.90; 22.44; 22.81; 77.30; 72.02; 77.24; 77.81; 38.84; 58.05; 55.90
 21.85; 25.84; 22.44; 22.80; 77.28; 72.06; 77.24; 77.85; 38.79; 58.06; 55.90
 21.82; 25.87; 22.39; 22.81; 77.28; 72.06; 77.33; 77.85; 38.77; 58.05; 55.90
 21.78; 25.83; 22.39; 22.87; 77.18; 72.11; 77.39; 77.85; 38.82; 58.08; 55.85
 21.79; 25.84; 22.39; 22.89; 77.22; 72.13; 77.40; 77.85; 38.84; 57.98; 55.85
 21.83; 25.78; 22.39; 22.86; 77.17; 72.19; 77.42; 77.87; 38.87; 57.96; 55.83
 21.79; 25.75; 22.41; 22.88; 77.13; 72.17; 77.49; 77.92; 38.86; 57.93; 55.85
 21.77; 25.78; 22.39; 22.92; 77.05; 72.19; 77.53; 77.94; 38.85; 57.91; 55.85
 21.77; 25.74; 22.41; 22.96; 77.06; 72.22; 77.57; 77.97; 38.86; 57.80; 55.83
 21.75; 25.67; 22.43; 22.96; 77.04; 72.23; 77.57; 78.00; 38.99; 57.79; 55.85
 21.80; 25.72; 22.43; 22.96; 77.02; 72.25; 77.57; 78.02; 38.97; 57.82; 55.82
 21.78; 25.81; 22.41; 22.95; 76.88; 72.31; 77.59; 78.06; 39.03; 57.86; 55.80
 21.78; 25.73; 22.43; 22.95; 76.92; 72.31; 77.59; 78.10; 39.05; 57.89; 55.82
 21.74; 25.82; 22.43; 22.90; 76.88; 72.31; 77.60; 78.10; 39.13; 57.86; 55.84
 21.70; 25.89; 22.45; 22.94; 76.91; 72.24; 77.58; 78.12; 39.11; 57.81; 55.90
 21.66; 25.94; 22.42; 22.98; 76.87; 72.26; 77.63; 78.14; 39.15; 57.82; 55.82
 21.70; 25.97; 22.40; 22.97; 76.85; 72.30; 77.66; 78.16; 39.21; 57.73; 55.78
 21.70; 25.99; 22.38; 22.95; 76.83; 72.32; 77.68; 78.18; 39.17; 57.72; 55.69
 21.73; 25.95; 22.40; 22.95; 76.83; 72.28; 77.70; 78.19; 39.09; 57.69; 55.71
 21.69; 25.93; 22.40; 22.93; 76.80; 72.24; 77.64; 78.17; 39.13; 57.69; 55.82
 21.69; 25.98; 22.40; 22.91; 76.76; 72.24; 77.56; 78.13; 39.13; 57.64; 55.90
 21.65; 26.02; 22.40; 22.87; 76.68; 72.24; 77.60; 78.21; 39.10; 57.61; 55.88
 21.63; 25.99; 22.42; 22.85; 76.73; 72.22; 77.54; 78.23; 39.05; 57.62; 55.89
 21.61; 25.97; 22.40; 22.82; 76.73; 72.16; 77.50; 78.23; 39.06; 57.65; 55.95
 21.61; 25.99; 22.42; 22.86; 76.77; 72.08; 77.48; 78.12; 39.05; 57.63; 55.99
 21.57; 25.93; 22.46; 22.90; 76.76; 72.12; 77.54; 78.10; 39.06; 57.59; 55.99
 21.60; 25.98; 22.48; 22.98; 76.78; 72.10; 77.46; 78.08; 39.01; 57.58; 56.01
 21.58; 25.97; 22.50; 22.96; 76.73; 72.10; 77.50; 78.02; 39.03; 57.62; 56.07
 21.60; 26.01; 22.52; 22.91; 76.75; 72.04; 77.48; 78.00; 39.04; 57.67; 56.07
 21.60; 26.02; 22.53; 22.91; 76.69; 72.10; 77.50; 78.04; 39.00; 57.62; 56.10
 21.59; 26.07; 22.49; 22.95; 76.72; 72.08; 77.57; 78.04; 38.97; 57.61; 56.08
 21.57; 26.07; 22.51; 22.97; 76.72; 72.06; 77.53; 78.04; 38.93; 57.62; 56.17
 21.61; 26.10; 22.57; 22.94; 76.78; 72.04; 77.45; 78.00; 38.89; 57.64; 56.20
 21.57; 26.14; 22.59; 22.98; 76.77; 72.06; 77.49; 78.02; 38.85; 57.63; 56.21
 21.49; 26.19; 22.65; 23.04; 76.81; 72.03; 77.49; 78.02; 38.81; 57.62; 56.25
 21.45; 26.23; 22.66; 23.03; 76.79; 71.99; 77.47; 78.07; 38.85; 57.63; 56.29
 21.47; 26.28; 22.66; 23.01; 76.85; 71.93; 77.43; 78.05; 38.85; 57.65; 56.38
 21.47; 26.24; 22.70; 23.04; 76.84; 71.96; 77.49; 78.05; 38.85; 57.60; 56.34
 21.47; 26.31; 22.77; 23.03; 76.84; 71.90; 77.41; 78.03; 38.83; 57.61; 56.38
 21.46; 26.31; 22.77; 23.00; 76.80; 71.88; 77.44; 78.05; 38.83; 57.62; 56.45
 21.46; 26.35; 22.77; 22.99; 76.78; 71.87; 77.46; 77.97; 38.78; 57.69; 56.50
 21.44; 26.34; 22.78; 22.98; 76.71; 71.91; 77.50; 77.95; 38.76; 57.67; 56.50
 21.43; 26.38; 22.78; 22.96; 76.71; 71.91; 77.50; 77.88; 38.68; 57.66; 56.55
 21.39; 26.45; 22.77; 22.95; 76.72; 71.84; 77.46; 77.84; 38.63; 57.69; 56.63
 21.41; 26.47; 22.75; 22.92; 76.72; 71.76; 77.42; 77.84; 38.64; 57.65; 56.68
 21.40; 26.48; 22.75; 22.89; 76.69; 71.77; 77.44; 77.84; 38.65; 57.64; 56.69
 21.40; 26.46; 22.73; 22.89; 76.75; 71.73; 77.41; 77.80; 38.59; 57.67; 56.78
 21.44; 26.37; 22.74; 22.90; 76.71; 71.75; 77.35; 77.82; 38.55; 57.68; 56.83
 21.44; 26.36; 22.74; 22.91; 76.70; 71.75; 77.35; 77.82; 38.54; 57.64; 56.86
 21.38; 26.39; 22.82; 22.96; 76.73; 71.77; 77.35; 77.86; 38.49; 57.58; 56.79
 21.37; 26.41; 22.78; 23.07; 76.75; 71.79; 77.30; 77.84; 38.48; 57.54; 56.79
 21.35; 26.49; 22.79; 23.11; 76.76; 71.76; 77.30; 77.76; 38.46; 57.51; 56.82
 21.39; 26.60; 22.77; 23.10; 76.82; 71.72; 77.30; 77.69; 38.41; 57.47; 56.82
 21.34; 26.64; 22.81; 23.08; 76.83; 71.73; 77.37; 77.71; 38.38; 57.47; 56.82
 21.32; 26.72; 22.77; 23.10; 76.87; 71.73; 77.32; 77.71; 38.38; 57.42; 56.87
 21.29; 26.69; 22.79; 23.06; 76.85; 71.74; 77.33; 77.69; 38.38; 57.49; 56.96
 21.29; 26.78; 22.75; 23.04; 76.87; 71.68; 77.37; 77.65; 38.42; 57.45; 57.01
 21.28; 26.82; 22.76; 23.00; 76.89; 71.69; 77.35; 77.69; 38.40; 57.46; 57.04
 21.23; 26.84; 22.82; 23.00; 76.92; 71.68; 77.31; 77.76; 38.36; 57.45; 57.09
 21.21; 26.81; 22.83; 23.03; 76.94; 71.65; 77.29; 77.80; 38.37; 57.48; 57.12
 21.22; 26.83; 22.88; 23.05; 76.92; 71.61; 77.29; 77.78; 38.37; 57.48; 57.19
 21.20; 26.87; 22.89; 23.01; 76.87; 71.66; 77.31; 77.84; 38.33; 57.45; 57.13
 21.17; 26.89; 22.94; 23.01; 76.89; 71.72; 77.26; 77.79; 38.32; 57.47; 57.09
 21.10; 26.89; 22.91; 23.02; 76.84; 71.76; 77.21; 77.81; 38.34; 57.50; 57.12
 21.09; 26.97; 22.92; 23.00; 76.85; 71.74; 77.16; 77.76; 38.32; 57.45; 57.19
 21.10; 26.98; 22.91; 22.97; 76.86; 71.71; 77.18; 77.76; 38.28; 57.43; 57.22
 21.16; 26.95; 22.93; 22.95; 76.93; 71.64; 77.18; 77.66; 38.20; 57.44; 57.26
 21.14; 26.96; 22.90; 22.96; 76.91; 71.67; 77.21; 77.66; 38.15; 57.44; 57.22
 21.13; 26.95; 22.91; 22.96; 76.86; 71.67; 77.23; 77.66; 38.14; 57.45; 57.18
 21.11; 27.01; 22.94; 22.89; 76.89; 71.71; 77.18; 77.64; 38.09; 57.51; 57.16
 21.12; 27.01; 22.90; 22.87; 76.91; 71.77; 77.17; 77.64; 38.06; 57.51; 57.16
 21.13; 26.98; 22.92; 22.92; 76.94; 71.78; 77.15; 77.64; 38.01; 57.46; 57.14
 21.11; 27.00; 22.98; 22.85; 76.91; 71.84; 77.12; 77.66; 38.05; 57.42; 57.12
 21.06; 27.03; 22.95; 22.83; 76.95; 71.86; 77.09; 77.68; 38.06; 57.39; 57.16
 21.15; 27.04; 22.91; 22.79; 76.97; 71.89; 77.11; 77.61; 38.03; 57.36; 57.18
 21.19; 27.01; 22.89; 22.81; 76.88; 71.93; 77.14; 77.62; 38.04; 57.35; 57.16
 21.19; 27.01; 22.96; 22.79; 76.85; 71.89; 77.14; 77.63; 38.04; 57.34; 57.18
 21.21; 27.04; 22.99; 22.78; 76.82; 71.86; 77.17; 77.59; 38.07; 57.37; 57.19
 21.24; 27.08; 23.00; 22.77; 76.84; 71.85; 77.17; 77.52; 38.06; 57.38; 57.28
 21.22; 27.07; 23.02; 22.82; 76.79; 71.88; 77.18; 77.52; 38.06; 57.46; 57.25
 21.21; 27.05; 23.07; 22.83; 76.80; 71.92; 77.18; 77.51; 38.06; 57.44; 57.30
 21.21; 27.03; 23.03; 22.83; 76.79; 71.91; 77.18; 77.52; 38.13; 57.45; 57.34
 21.23; 27.05; 23.03; 22.81; 76.78; 71.87; 77.16; 77.54; 38.15; 57.51; 57.37
 21.20; 27.09; 22.98; 22.84; 76.82; 71.89; 77.18; 77.54; 38.15; 57.52; 57.35
 21.18; 27.14; 23.01; 22.84; 76.80; 71.88; 77.17; 77.58; 38.19; 57.55; 57.29
 21.20; 27.16; 22.98; 22.84; 76.76; 71.85; 77.14; 77.59; 38.18; 57.56; 57.31
 21.17; 27.20; 22.99; 22.82; 76.77; 71.82; 77.13; 77.58; 38.13; 57.55; 57.35
 21.16; 27.15; 23.03; 22.84; 76.69; 71.85; 77.10; 77.60; 38.11; 57.61; 57.31
 21.11; 27.12; 23.04; 22.82; 76.70; 71.90; 77.13; 77.56; 38.15; 57.57; 57.27
 21.11; 27.09; 23.04; 22.80; 76.67; 71.94; 77.08; 77.55; 38.18; 57.57; 57.29
 21.12; 27.09; 23.02; 22.74; 76.67; 71.94; 77.07; 77.53; 38.20; 57.56; 57.30
 21.10; 27.09; 22.98; 22.79; 76.64; 72.01; 77.02; 77.50; 38.22; 57.56; 57.27
 21.09; 27.07; 22.98; 22.75; 76.61; 72.04; 77.01; 77.53; 38.17; 57.53; 57.32
 21.12; 27.07; 22.96; 22.71; 76.62; 72.02; 77.03; 77.57; 38.13; 57.56; 57.32
 21.11; 27.11; 22.92; 22.68; 76.64; 72.04; 77.01; 77.57; 38.11; 57.60; 57.31
 21.07; 27.04; 22.89; 22.76; 76.65; 72.04; 77.00; 77.55; 38.13; 57.66; 57.31
 21.07; 27.01; 22.89; 22.74; 76.66; 72.06; 77.00; 77.54; 38.17; 57.71; 57.28
 21.06; 27.10; 22.87; 22.74; 76.63; 72.10; 76.95; 77.51; 38.16; 57.70; 57.30
 21.12; 27.08; 22.85; 22.71; 76.63; 72.12; 76.96; 77.47; 38.17; 57.68; 57.33
 21.11; 27.05; 22.88; 22.75; 76.62; 72.15; 76.94; 77.47; 38.16; 57.67; 57.29
 21.11; 27.06; 22.93; 22.74; 76.59; 72.19; 76.96; 77.46; 38.12; 57.68; 57.27
 21.10; 27.06; 22.91; 22.72; 76.59; 72.24; 76.97; 77.49; 38.12; 57.70; 57.28
 21.12; 27.06; 22.94; 22.69; 76.63; 72.25; 76.91; 77.49; 38.09; 57.73; 57.36
 21.14; 27.06; 22.87; 22.68; 76.65; 72.30; 76.89; 77.48; 38.10; 57.80; 57.35
 21.14; 27.03; 22.95; 22.67; 76.65; 72.34; 76.88; 77.49; 38.08; 57.84; 57.32
 21.19; 27.08; 22.93; 22.63; 76.64; 72.37; 76.90; 77.50; 38.07; 57.84; 57.30
 21.21; 27.13; 22.98; 22.62; 76.65; 72.36; 76.90; 77.44; 38.01; 57.85; 57.32
 21.17; 27.13; 22.96; 22.70; 76.66; 72.40; 76.91; 77.44; 37.98; 57.84; 57.33
 21.16; 27.15; 23.05; 22.67; 76.67; 72.43; 76.89; 77.46; 37.97; 57.85; 57.25
 21.11; 27.13; 23.07; 22.65; 76.72; 72.40; 76.88; 77.45; 37.98; 57.84; 57.26
 21.07; 27.14; 23.08; 22.62; 76.77; 72.38; 76.85; 77.43; 37.97; 57.82; 57.27
 21.04; 27.09; 23.07; 22.62; 76.76; 72.38; 76.87; 77.46; 38.00; 57.80; 57.25
 21.04; 27.10; 23.08; 22.63; 76.75; 72.38; 76.89; 77.45; 37.98; 57.79; 57.18
 21.04; 27.11; 23.06; 22.63; 76.72; 72.36; 76.86; 77.50; 37.96; 57.78; 57.19
 21.03; 27.10; 23.06; 22.58; 76.71; 72.35; 76.88; 77.48; 37.97; 57.79; 57.19
 21.00; 27.07; 23.09; 22.58; 76.71; 72.35; 76.86; 77.47; 38.01; 57.73; 57.20
 20.99; 27.07; 23.10; 22.56; 76.67; 72.35; 76.87; 77.45; 37.98; 57.81; 57.16
 20.99; 27.10; 23.13; 22.50; 76.67; 72.39; 76.90; 77.45; 38.00; 57.76; 57.13
 20.98; 27.10; 23.11; 22.51; 76.66; 72.39; 76.90; 77.47; 38.00; 57.80; 57.11
 21.00; 27.09; 23.13; 22.51; 76.69; 72.38; 76.91; 77.46; 38.00; 57.81; 57.09
 20.97; 27.09; 23.14; 22.53; 76.71; 72.39; 76.85; 77.47; 38.03; 57.81; 57.09
 20.96; 27.11; 23.17; 22.50; 76.68; 72.45; 76.88; 77.49; 38.01; 57.77; 57.09
 20.93; 27.16; 23.18; 22.45; 76.73; 72.45; 76.91; 77.45; 37.99; 57.77; 57.11
 20.93; 27.13; 23.18; 22.48; 76.73; 72.46; 76.90; 77.44; 38.00; 57.75; 57.15
 20.91; 27.16; 23.22; 22.49; 76.75; 72.46; 76.95; 77.41; 37.95; 57.77; 57.09
 20.88; 27.19; 23.23; 22.52; 76.74; 72.49; 76.95; 77.47; 37.94; 57.75; 57.07
 20.87; 27.21; 23.27; 22.51; 76.74; 72.51; 76.96; 77.48; 37.92; 57.74; 57.07
 20.86; 27.17; 23.32; 22.51; 76.79; 72.51; 76.97; 77.53; 37.96; 57.74; 57.03
 20.88; 27.16; 23.34; 22.54; 76.78; 72.50; 77.00; 77.51; 37.91; 57.76; 57.06
 20.88; 27.15; 23.35; 22.56; 76.78; 72.50; 77.01; 77.55; 37.87; 57.76; 57.04
 20.86; 27.21; 23.34; 22.53; 76.76; 72.51; 77.02; 77.57; 37.84; 57.80; 57.03
 20.86; 27.18; 23.35; 22.55; 76.75; 72.50; 77.03; 77.55; 37.82; 57.83; 57.06
 20.85; 27.19; 23.36; 22.55; 76.74; 72.49; 77.02; 77.57; 37.80; 57.87; 57.07
 20.85; 27.20; 23.37; 22.51; 76.73; 72.50; 77.05; 77.57; 37.75; 57.85; 57.05
 20.81; 27.24; 23.37; 22.48; 76.68; 72.49; 77.07; 77.56; 37.74; 57.90; 57.03
 20.85; 27.26; 23.36; 22.45; 76.70; 72.46; 77.06; 77.54; 37.70; 57.90; 57.04
 20.81; 27.26; 23.34; 22.43; 76.72; 72.40; 77.06; 77.56; 37.68; 57.97; 57.03
 20.81; 27.24; 23.32; 22.43; 76.71; 72.41; 77.03; 77.59; 37.66; 57.97; 57.03
 20.80; 27.25; 23.32; 22.43; 76.72; 72.38; 77.03; 77.60; 37.66; 57.95; 57.01
 20.78; 27.21; 23.35; 22.40; 76.72; 72.43; 77.02; 77.62; 37.63; 57.95; 57.00
 20.77; 27.19; 23.33; 22.38; 76.69; 72.41; 77.04; 77.66; 37.62; 57.98; 56.98
 20.75; 27.28; 23.31; 22.40; 76.66; 72.44; 77.04; 77.68; 37.60; 57.97; 56.95
 20.75; 27.27; 23.29; 22.37; 76.65; 72.43; 77.03; 77.72; 37.66; 57.98; 56.93
 20.77; 27.26; 23.29; 22.41; 76.65; 72.45; 77.01; 77.73; 37.65; 57.97; 56.88
 20.76; 27.27; 23.30; 22.41; 76.65; 72.45; 77.00; 77.75; 37.66; 57.99; 56.84
 20.76; 27.26; 23.29; 22.40; 76.66; 72.50; 77.01; 77.76; 37.67; 58.01; 56.83
 20.76; 27.23; 23.28; 22.37; 76.66; 72.51; 77.01; 77.75; 37.69; 58.03; 56.87
 20.78; 27.21; 23.31; 22.37; 76.69; 72.48; 77.06; 77.72; 37.66; 58.02; 56.89
 20.77; 27.24; 23.33; 22.37; 76.68; 72.49; 77.11; 77.69; 37.63; 58.02; 56.90
 20.76; 27.22; 23.36; 22.35; 76.64; 72.50; 77.13; 77.74; 37.62; 58.04; 56.93
 20.76; 27.27; 23.36; 22.35; 76.64; 72.52; 77.13; 77.71; 37.64; 58.05; 56.92
 20.75; 27.28; 23.37; 22.37; 76.64; 72.50; 77.10; 77.74; 37.68; 58.06; 56.91
 20.72; 27.28; 23.42; 22.35; 76.65; 72.49; 77.14; 77.76; 37.67; 58.08; 56.89
 20.71; 27.34; 23.41; 22.32; 76.63; 72.53; 77.17; 77.76; 37.64; 58.06; 56.86
 20.67; 27.37; 23.40; 22.31; 76.62; 72.52; 77.16; 77.78; 37.65; 58.07; 56.88
 20.63; 27.36; 23.40; 22.32; 76.63; 72.50; 77.19; 77.79; 37.68; 58.05; 56.85
 20.59; 27.34; 23.44; 22.34; 76.63; 72.48; 77.23; 77.82; 37.68; 58.01; 56.83
 20.61; 27.37; 23.40; 22.31; 76.64; 72.49; 77.26; 77.79; 37.66; 57.95; 56.83
 20.58; 27.37; 23.41; 22.31; 76.63; 72.50; 77.29; 77.76; 37.64; 57.95; 56.81
 20.56; 27.34; 23.40; 22.32; 76.64; 72.53; 77.28; 77.80; 37.61; 57.94; 56.78
 20.58; 27.32; 23.36; 22.29; 76.64; 72.57; 77.30; 77.80; 37.60; 57.88; 56.78
 20.58; 27.36; 23.33; 22.31; 76.65; 72.54; 77.31; 77.82; 37.59; 57.88; 56.74
 20.56; 27.32; 23.31; 22.33; 76.64; 72.53; 77.31; 77.85; 37.58; 57.90; 56.75
 20.56; 27.34; 23.33; 22.36; 76.63; 72.58; 77.29; 77.82; 37.56; 57.88; 56.71
 20.55; 27.31; 23.34; 22.37; 76.66; 72.61; 77.28; 77.78; 37.53; 57.88; 56.73
 20.56; 27.30; 23.31; 22.40; 76.65; 72.64; 77.30; 77.78; 37.52; 57.87; 56.71
 20.59; 27.28; 23.28; 22.40; 76.64; 72.66; 77.30; 77.78; 37.51; 57.88; 56.71
 20.56; 27.26; 23.27; 22.41; 76.62; 72.65; 77.31; 77.80; 37.53; 57.89; 56.72
 20.62; 27.22; 23.27; 22.40; 76.63; 72.63; 77.33; 77.80; 37.53; 57.88; 56.71
 20.65; 27.26; 23.23; 22.40; 76.64; 72.67; 77.33; 77.80; 37.54; 57.89; 56.68
 20.63; 27.24; 23.27; 22.41; 76.61; 72.68; 77.35; 77.80; 37.54; 57.92; 56.70
 20.60; 27.25; 23.25; 22.45; 76.64; 72.72; 77.36; 77.79; 37.52; 57.91; 56.71
 20.61; 27.24; 23.26; 22.41; 76.66; 72.71; 77.38; 77.79; 37.55; 57.95; 56.72
 20.65; 27.28; 23.24; 22.41; 76.66; 72.69; 77.39; 77.82; 37.52; 57.96; 56.73
 20.62; 27.27; 23.25; 22.45; 76.65; 72.71; 77.40; 77.84; 37.49; 57.96; 56.75
 20.59; 27.28; 23.26; 22.45; 76.66; 72.69; 77.42; 77.87; 37.50; 57.96; 56.78
 20.61; 27.28; 23.25; 22.44; 76.69; 72.68; 77.37; 77.90; 37.51; 57.99; 56.79
 20.65; 27.30; 23.23; 22.45; 76.68; 72.69; 77.35; 77.91; 37.48; 57.97; 56.76
 20.65; 27.28; 23.25; 22.43; 76.67; 72.70; 77.36; 77.92; 37.48; 57.94; 56.73
 20.65; 27.26; 23.27; 22.41; 76.64; 72.72; 77.39; 77.92; 37.48; 57.94; 56.70
 20.65; 27.22; 23.32; 22.40; 76.63; 72.69; 77.36; 77.94; 37.47; 57.93; 56.72
 20.66; 27.20; 23.29; 22.40; 76.60; 72.70; 77.39; 77.94; 37.48; 57.94; 56.68
 20.67; 27.17; 23.26; 22.38; 76.63; 72.70; 77.41; 77.93; 37.47; 57.93; 56.66
 20.65; 27.19; 23.23; 22.37; 76.62; 72.69; 77.39; 77.96; 37.46; 57.98; 56.61
 20.67; 27.17; 23.22; 22.33; 76.63; 72.68; 77.38; 77.99; 37.43; 57.99; 56.59
 20.67; 27.21; 23.18; 22.33; 76.65; 72.67; 77.40; 78.01; 37.41; 57.99; 56.56
 20.64; 27.17; 23.17; 22.33; 76.65; 72.70; 77.40; 78.04; 37.45; 57.98; 56.55
 20.64; 27.16; 23.18; 22.33; 76.63; 72.70; 77.42; 78.05; 37.46; 58.00; 56.51
 20.61; 27.12; 23.18; 22.33; 76.64; 72.73; 77.39; 78.06; 37.46; 58.03; 56.52
 20.67; 27.13; 23.13; 22.33; 76.64; 72.73; 77.42; 78.08; 37.43; 58.02; 56.49
 20.66; 27.13; 23.16; 22.33; 76.65; 72.72; 77.44; 78.09; 37.41; 57.98; 56.50
 20.67; 27.13; 23.17; 22.35; 76.60; 72.72; 77.46; 78.11; 37.38; 57.97; 56.50
 20.68; 27.08; 23.21; 22.34; 76.60; 72.72; 77.47; 78.10; 37.39; 57.97; 56.51
 20.71; 27.07; 23.20; 22.33; 76.63; 72.74; 77.47; 78.11; 37.38; 57.99; 56.50
 20.70; 27.03; 23.24; 22.33; 76.66; 72.74; 77.45; 78.11; 37.40; 57.99; 56.53
 20.70; 27.01; 23.24; 22.34; 76.67; 72.76; 77.44; 78.13; 37.39; 58.00; 56.57
 20.70; 26.99; 23.22; 22.38; 76.70; 72.76; 77.44; 78.13; 37.38; 58.01; 56.58
 20.76; 27.00; 23.21; 22.40; 76.70; 72.74; 77.48; 78.15; 37.34; 58.03; 56.55
 20.77; 26.99; 23.19; 22.41; 76.70; 72.73; 77.49; 78.15; 37.32; 58.06; 56.56
 20.76; 27.01; 23.19; 22.43; 76.65; 72.72; 77.49; 78.17; 37.32; 58.08; 56.59
 20.77; 27.00; 23.23; 22.40; 76.65; 72.72; 77.52; 78.17; 37.37; 58.09; 56.55
 20.80; 27.03; 23.20; 22.38; 76.61; 72.69; 77.52; 78.18; 37.34; 58.14; 56.52
 20.77; 27.00; 23.20; 22.38; 76.60; 72.69; 77.52; 78.17; 37.34; 58.17; 56.50
 20.75; 26.99; 23.18; 22.38; 76.61; 72.69; 77.53; 78.17; 37.31; 58.15; 56.51
 20.77; 26.97; 23.18; 22.35; 76.64; 72.69; 77.54; 78.13; 37.26; 58.19; 56.51
 20.77; 26.99; 23.17; 22.36; 76.62; 72.69; 77.51; 78.13; 37.25; 58.19; 56.49
 20.76; 26.95; 23.18; 22.35; 76.59; 72.69; 77.54; 78.11; 37.26; 58.19; 56.49
 20.74; 26.95; 23.18; 22.41; 76.57; 72.69; 77.49; 78.14; 37.23; 58.19; 56.47
 20.72; 26.91; 23.16; 22.41; 76.55; 72.66; 77.51; 78.14; 37.23; 58.20; 56.50
 20.70; 26.91; 23.15; 22.42; 76.57; 72.64; 77.51; 78.15; 37.23; 58.21; 56.52
 20.70; 26.89; 23.13; 22.44; 76.52; 72.65; 77.53; 78.17; 37.24; 58.24; 56.52
 20.73; 26.88; 23.13; 22.46; 76.52; 72.67; 77.49; 78.16; 37.25; 58.24; 56.52
 20.73; 26.87; 23.12; 22.52; 76.55; 72.65; 77.50; 78.16; 37.22; 58.25; 56.52
 20.71; 26.86; 23.11; 22.52; 76.54; 72.65; 77.50; 78.16; 37.24; 58.28; 56.52
 20.70; 26.83; 23.11; 22.53; 76.52; 72.61; 77.52; 78.17; 37.26; 58.30; 56.57
 20.71; 26.87; 23.12; 22.51; 76.53; 72.59; 77.47; 78.16; 37.25; 58.31; 56.59
 20.72; 26.84; 23.11; 22.56; 76.52; 72.59; 77.47; 78.17; 37.23; 58.31; 56.61
 20.70; 26.90; 23.09; 22.52; 76.54; 72.60; 77.47; 78.16; 37.26; 58.33; 56.62
 20.70; 26.91; 23.09; 22.52; 76.50; 72.60; 77.46; 78.15; 37.30; 58.37; 56.64
 20.70; 26.92; 23.11; 22.55; 76.52; 72.62; 77.46; 78.14; 37.29; 58.33; 56.67
 20.71; 26.91; 23.08; 22.57; 76.55; 72.64; 77.44; 78.14; 37.31; 58.34; 56.67
 20.73; 26.91; 23.11; 22.54; 76.52; 72.62; 77.47; 78.12; 37.35; 58.33; 56.66
 20.76; 26.91; 23.10; 22.56; 76.48; 72.62; 77.46; 78.14; 37.37; 58.31; 56.68
